ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
897,8742,1,0,1080,922,1,0,0,1,1,0,47,0,111,0,0
730,7014,1,0,1080,989,0,1,0,2,0,1,0,91,0,0,0
1661,15359,1,0,1080,1079,0,1,0,1,1,0,1,0,0,0,0
1685,15555,1,0,1080,1078,1,0,0,2,0,0,0,2,0,0,0
1911,17735,1,0,1080,1075,1,0,0,2,0,1,0,0,0,0,5
1808,16749,1,0,1080,472,1,0,0,1,1,2,0,608,0,0,0
357,3394,1,0,1080,1031,0,1,0,2,0,0,49,0,0,0,0
386,3724,1,0,1080,562,0,0,1,2,0,3,0,518,0,0,0
1609,15010,1,0,1080,491,0,0,1,1,1,0,0,0,589,0,0
1592,14893,1,0,1080,780,0,0,1,2,0,0,0,300,0,0,0
1650,15300,1,0,1080,1079,0,1,0,1,1,0,1,0,0,0,0
1469,13923,1,0,1080,1037,0,0,1,2,0,0,0,43,0,0,0
662,6402,1,0,1080,1049,1,0,0,1,1,2,0,0,31,0,0
1092,10720,1,0,1080,777,0,1,0,2,0,0,3,284,0,16,0
1422,13507,1,0,1080,1007,0,0,1,1,1,1,5,0,15,0,53
184,1559,1,0,1080,859,0,1,0,1,1,0,0,181,40,0,0
475,4675,1,0,1080,1051,1,0,0,1,1,0,0,0,29,0,0
798,7609,1,0,1080,794,1,0,0,1,1,0,12,95,0,0,179
1006,9816,1,0,1080,852,1,0,0,2,0,0,0,149,0,0,79
405,3958,1,0,1080,932,0,0,1,2,0,0,0,0,148,0,0
910,8885,1,0,1080,1079,0,0,1,1,1,0,0,0,0,0,1
1889,17555,1,0,1080,656,0,1,0,1,1,0,0,0,424,0,0
1955,18143,1,0,1080,1079,1,0,0,2,0,2,0,0,1,0,0
923,8948,1,0,1080,705,0,1,0,1,1,0,0,0,375,0,0
1616,15048,1,0,1080,393,0,0,1,2,0,0,0,546,102,39,0
965,9488,1,0,1080,906,0,1,0,2,0,0,0,0,174,0,0
1101,10760,1,0,1080,1075,1,0,0,2,0,0,0,0,0,0,5
11,109,1,0,1080,1053,0,0,1,2,0,0,0,27,0,0,0
231,2037,1,0,1080,1076,0,0,1,2,0,0,2,2,0,0,0
808,7685,1,0,1080,391,1,0,0,2,0,0,0,689,0,0,0
208,1789,1,0,1080,448,0,1,0,1,1,0,0,619,0,13,0
1299,12404,1,0,1080,1067,0,1,0,2,0,2,0,13,0,0,0
1229,11835,1,0,1080,1007,0,0,1,2,0,2,0,73,0,0,0
1946,18066,1,0,1080,851,1,0,0,2,0,0,0,190,0,5,34
1255,12042,1,0,1080,1075,0,1,0,1,1,1,0,0,0,0,5
1553,14590,1,0,1080,781,1,0,0,1,1,0,0,3,296,0,0
1576,14750,1,0,1080,670,1,0,0,1,1,3,0,109,301,0,0
1870,17390,1,0,1080,960,0,0,1,2,0,4,26,94,0,0,0
1176,11339,1,0,1080,450,0,1,0,2,0,3,111,512,0,7,0
