ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
563,5433,1,0,1080,758,0,1,0,2,0,2,0,322,0,0,0
72,685,1,0,1080,890,1,0,0,1,1,0,19,0,139,0,32
1954,18124,1,0,1080,830,0,0,1,1,1,4,0,162,88,0,0
1630,15156,1,0,1080,727,1,0,0,2,0,0,0,0,278,0,75
130,1131,1,0,1080,1007,1,0,0,2,0,0,0,0,73,0,0
721,6925,1,0,1080,985,0,1,0,1,1,0,0,95,0,0,0
377,3562,1,0,1080,843,0,1,0,1,1,0,0,0,237,0,0
1411,13363,1,0,1080,1076,0,0,1,1,1,0,0,0,0,4,0
669,6508,1,0,1080,1079,1,0,0,1,1,0,0,0,1,0,0
423,4134,1,0,1080,1079,1,0,0,2,0,0,0,0,0,0,1
1259,12087,1,0,1080,1075,1,0,0,2,0,3,0,0,0,0,5
298,2805,1,0,1080,520,0,0,1,2,0,0,0,560,0,0,0
1378,13066,1,0,1080,420,0,1,0,2,0,1,0,373,287,0,0
1519,14327,1,0,1080,1075,0,0,1,1,1,0,0,5,0,0,0
619,5833,1,0,1080,1077,1,0,0,1,1,0,0,3,0,0,0
3,32,1,0,1080,1008,1,0,0,2,0,0,0,72,0,0,0
741,7098,1,0,1080,591,1,0,0,1,1,0,0,0,489,0,0
1572,14737,1,0,1080,763,1,0,0,1,1,0,60,0,183,74,0
1116,10948,1,0,1080,910,1,0,0,1,1,0,10,160,0,0,0
1126,11036,1,0,1080,784,1,0,0,2,0,2,0,133,163,0,0
327,3130,1,0,1080,1076,0,1,0,2,0,0,0,0,0,4,0
738,7074,1,0,1080,707,0,1,0,1,1,0,2,371,0,0,0
1560,14632,1,0,1080,225,0,1,0,2,0,0,0,0,855,0,0
1991,18417,1,0,1080,1075,1,0,0,2,0,0,0,0,0,0,5
1246,11989,1,0,1080,1051,1,0,0,1,1,0,0,29,0,0,0
271,2493,1,0,1080,1079,0,0,1,2,0,0,0,0,0,0,1
1177,11354,1,0,1080,1079,1,0,0,2,0,2,0,0,0,1,0
1264,12105,1,0,1080,733,1,0,0,1,1,1,0,31,297,19,0
341,3275,1,0,1080,987,1,0,0,2,0,0,0,93,0,0,0
773,7372,1,0,1080,663,1,0,0,2,0,3,0,417,0,0,0
789,7533,1,0,1080,871,1,0,0,2,0,2,209,0,0,0,0
633,6042,1,0,1080,603,1,0,0,2,0,2,0,477,0,0,0
819,7807,1,0,1080,1076,1,0,0,2,0,0,0,0,0,4,0
1941,18026,1,0,1080,1039,1,0,0,1,1,2,7,34,0,0,0
1061,10371,1,0,1080,1023,0,1,0,1,1,1,0,57,0,0,0
1904,17688,1,0,1080,951,1,0,0,1,1,0,0,55,74,0,0
776,7394,1,0,1080,237,1,0,0,2,0,0,0,0,843,0,0
1859,17317,1,0,1080,1052,0,0,1,2,0,0,0,28,0,0,0
1462,13863,1,0,1080,340,0,1,0,1,1,0,0,0,740,0,0
36,318,1,0,1080,538,0,1,0,2,0,2,29,513,0,0,0
771,7370,1,0,1080,1075,1,0,0,2,0,0,0,0,5,0,0
875,8469,1,0,1080,1076,1,0,0,2,0,0,0,0,0,0,4
1612,15019,1,0,1080,972,1,0,0,2,0,1,0,78,30,0,0
200,1692,1,0,1080,654,1,0,0,2,0,0,0,0,114,0,312
310,2947,1,0,1080,1075,0,0,1,2,0,0,0,0,5,0,0
692,6688,1,0,1080,471,1,0,0,2,0,0,0,0,609,0,0
410,3997,1,0,1080,1071,1,0,0,2,0,0,0,0,8,0,1
557,5406,1,0,1080,1077,1,0,0,2,0,0,0,3,0,0,0
1977,18301,1,0,1080,992,0,1,0,2,0,1,88,0,0,0,0
936,9096,1,0,1080,794,0,0,1,1,1,0,15,271,0,0,0
366,3487,1,0,1080,996,1,0,0,1,1,0,12,72,0,0,0
540,5312,1,0,1080,866,0,1,0,2,0,0,14,69,131,0,0
134,1158,1,0,1080,937,1,0,0,1,1,1,0,0,143,0,0
711,6851,1,0,1080,1078,0,1,0,2,0,0,2,0,0,0,0
1791,16536,1,0,1080,1075,1,0,0,1,1,1,0,0,0,0,5
1161,11233,1,0,1080,820,0,1,0,2,0,0,0,155,105,0,0
710,6848,1,0,1080,1077,0,1,0,2,0,1,0,0,3,0,0
779,7416,1,0,1080,1076,1,0,0,2,0,1,0,4,0,0,0
1438,13643,1,0,1080,825,0,1,0,1,1,0,0,255,0,0,0
1699,15679,1,0,1080,1077,1,0,0,1,1,0,0,0,0,0,3
1886,17519,1,0,1080,964,1,0,0,2,0,0,0,113,0,0,3
1627,15121,1,0,1080,1077,0,1,0,2,0,0,0,0,0,0,3
1663,15370,1,0,1080,1077,1,0,0,1,1,0,0,0,3,0,0
666,6434,1,0,1080,780,1,0,0,2,0,0,0,218,82,0,0
152,1347,1,0,1080,910,1,0,0,1,1,0,0,0,60,0,110
136,1163,1,0,1080,576,0,0,1,2,0,0,0,504,0,0,0
1916,17767,1,0,1080,500,0,1,0,2,0,1,0,422,0,0,158
1443,13697,1,0,1080,592,0,0,1,1,1,0,0,488,0,0,0
1495,14160,1,0,1080,1075,0,1,0,2,0,1,0,0,0,5,0
781,7444,1,0,1080,1040,1,0,0,2,0,0,0,40,0,0,0
1783,16458,1,0,1080,1039,1,0,0,2,0,1,0,41,0,0,0
1381,13095,1,0,1080,1079,1,0,0,1,1,0,0,0,0,0,1
176,1531,1,0,1080,489,0,0,1,2,0,2,0,591,0,0,0
326,3112,1,0,1080,948,1,0,0,2,0,0,0,127,0,0,5
653,6284,1,0,1080,827,0,0,1,2,0,0,0,253,0,0,0
