ID,V1,V1,V2,FEMALE,NUMVEH,VEH3MORE,AGE18_29,AGE30_64,AGE65,LESS100,OVER100,LESS250,OVER250,UNO,SERO,DRIVE,SAFE,TECH,IFVEH,MOB,REGVEH,AV,SAV
1,0,0.697932215,0.15351429,0,1,0,1,0,0,0,1,1,0,1,0,-0.664625442,0.121153913,-1.538177822,1,-1.63,0,1,0
2,0,-1.024006189,-0.175234068,0,4,1,1,0,0,0,1,1,0,1,0,-0.847527256,1.09690743,1.144778138,1,0.469714073,0,1,0
3,0,-1.73219526,-0.896970905,0,3,1,0,1,0,0,1,1,0,1,0,-1.196910773,1.242355538,-0.259886433,1,-0.7702313,1,0,0
4,0,-1.506018327,-0.572874128,0,1,0,0,1,0,1,0,0,0,1,0,-0.681045554,0.502421261,1.144778138,1,0.652098512,1,0,0
5,0,1.450486391,1.32717747,0,4,1,1,0,0,0,1,1,0,1,0,-0.144362142,0.675686601,1.018404957,1,0.683178415,0,1,0
6,0,-1.536308813,-0.496318643,0,3,1,1,0,0,1,0,0,0,1,0,0.650840879,1.186448928,1.144778138,1,0.683178415,1,0,0
7,0,-1.67574543,-0.563498106,1,2,0,0,1,0,1,0,0,0,1,0,0.238432189,-1.111483606,-1.790924184,1,0.591986196,1,0,0
8,0,-0.275452891,-0.266051792,1,3,1,1,0,0,1,0,0,0,1,0,0.380300131,1.207648636,-0.133513252,1,0.591986196,1,0,0
9,0,0.092978864,2.336984025,1,4,1,1,0,0,1,0,0,0,1,0,-1.300969818,1.225007367,0.505632443,1,-0.255799372,0,0,1
10,0,-0.430132328,0.306114778,0,6,1,0,1,0,1,0,0,0,1,0,0.076348569,0.495803736,-1.025405309,1,-0.891312011,1,0,0
11,0,0.726631194,-1.126936722,1,4,1,1,0,0,1,0,0,0,1,0,-1.014008958,0.675686601,0.765658594,1,-0.386989977,0,1,0
12,0,0.028243496,-0.732649927,1,1,0,0,1,0,1,0,0,0,1,0,1.874270185,-1.267400776,-1.15177849,1,0.733066099,1,0,0
13,0,-0.030248016,-0.260358877,1,3,1,1,0,0,0,1,1,0,1,0,-1.034827153,0.516329877,0.379259262,1,0.21863417,0,1,0
14,0,0.639587977,-2.123122537,1,2,0,1,0,0,1,0,0,0,1,0,0.276241086,-0.320164846,1.144778138,1,0.683178415,0,1,0
15,0,0.642839585,0.666235703,0,2,0,1,0,0,1,0,0,0,1,0,1.653559473,-1.011483606,1.144778138,1,0.965338221,1,0,0
16,0,1.772146563,0.606352148,1,4,1,1,0,0,0,1,1,0,1,0,0.696272833,0.287157927,1.144778138,1,0.965338221,0,1,0
17,0,0.307965712,0.010511402,1,3,1,1,0,0,1,0,0,0,1,0,1.383018726,-1.267400776,-0.259886433,1,0.450906293,1,0,0
18,0,-0.223179312,-0.562881843,1,1,0,1,0,0,1,0,0,0,1,0,-0.110951327,-0.320164846,0.379259262,1,0.591986196,1,0,0
19,0,0.240384988,0.356341805,1,1,0,1,0,0,1,0,0,0,1,0,0.421334004,-1.267400776,1.018404957,1,-0.295797758,1,0,0
20,0,-0.525962172,-2.342337675,0,2,0,0,1,0,0,1,1,0,1,0,-0.576986509,0.827081644,0.379259262,1,0.560906293,0,1,0
21,0,0.030606696,0.070837267,1,4,1,1,0,0,1,0,0,0,1,0,0.646442797,-0.320164846,-0.259886433,1,0.610793977,1,0,0
22,0,0.140508308,-1.100050953,1,4,1,1,0,0,0,1,0,1,1,0,-0.002494199,-0.444814669,0.379259262,1,0.934258318,1,0,0
23,0,0.579123969,-0.486487174,0,2,0,0,1,0,0,1,1,0,1,0,-0.930768107,0.095109048,-0.259886433,1,0.268521854,0,1,0
24,0,-1.172538227,0.254116611,1,2,0,0,0,1,1,0,0,0,1,0,-0.626816545,0.924986246,0.379259262,1,-0.366990784,1,0,0
25,0,-1.35064242,-1.46547291,0,2,0,0,1,0,0,1,1,0,1,0,-0.232001075,-0.202806115,1.144778138,1,0.237441951,1,0,0
26,0,0.862418513,0.533708712,0,2,0,1,0,0,0,1,1,0,1,0,0.105361302,-0.769475052,0.892031776,1,-1.234775545,0,1,0
27,0,0.564089954,-0.542991827,1,1,0,1,0,0,1,0,0,0,1,0,0.554404891,-0.513557882,0.505632443,1,0.965338221,1,0,0
28,0,-0.433832153,0.968858655,0,2,0,1,0,0,1,0,0,0,1,0,1.895088379,-1.267400776,-0.772658946,1,-0.013637952,0,0,1
29,0,2.057839741,-0.919234651,1,0,0,0,1,0,1,0,0,0,1,0,1.254345921,-0.637534138,0.379259262,0,-0.911311204,0,1,0
30,0,-0.343284212,-0.5928076,1,1,0,1,0,0,1,0,0,0,1,0,-0.09775619,0.669069076,1.144778138,1,-0.275798565,1,0,0
31,0,-0.051862158,-0.82529317,1,2,0,1,0,0,1,0,0,0,1,0,0.380300131,0.627071083,0.892031776,1,0.450906293,1,0,0
32,0,-1.103308312,-0.844660418,0,2,0,1,0,0,1,0,0,0,1,0,-0.389686613,-0.320164846,0.379259262,1,0.450906293,1,0,0
33,0,1.499340626,1.2665386,0,3,1,0,1,0,1,0,0,0,1,0,1.757618519,-0.768801485,0.379259262,1,0.238633363,0,0,1
34,0,0.742133197,-0.964386802,1,3,1,1,0,0,1,0,0,0,1,0,-1.550692371,-0.886833783,1.144778138,1,-0.386989977,0,1,0
35,0,0.076976227,1.654552789,1,3,1,1,0,0,1,0,0,0,1,0,1.536907808,-1.267400776,0.505632443,1,0.542098512,0,0,1
36,0,0.55215196,0.891525972,1,1,0,0,0,1,1,0,0,0,1,0,-0.381492074,0.135762884,-0.639005976,1,-0.04,0,1,0
37,0,0.0498395,-1.050962988,0,3,1,1,0,0,1,0,0,0,1,0,-0.66022736,1.200357544,0.505632443,1,0.08,0,1,0
38,0,-1.225957615,0.053769985,1,3,1,0,1,0,1,0,0,0,1,0,0.613031982,-0.894825229,0.1265129,1,0.591986196,1,0,0
39,0,0.422215297,1.472716647,1,5,1,0,1,0,0,1,0,1,1,0,0.176009533,-0.064247676,0.252886081,1,-0.881422713,0,0,1
40,0,-1.685610316,-0.864033888,1,2,0,1,0,0,1,0,0,0,1,0,-0.218805938,-0.188897499,0.379259262,1,-0.881422713,1,0,0
41,0,0.59753625,-1.397511763,1,3,1,0,1,0,0,1,1,0,1,0,-0.847527256,-0.072239123,-0.899032127,1,-0.134718662,0,1,0
42,0,-0.39556783,-1.775433645,1,4,1,0,1,0,0,1,1,0,1,0,0.05173481,0.659733473,0,1,-0.013637952,1,0,0
43,0,-0.332821698,0.617366227,0,4,1,1,0,0,0,1,1,0,1,0,-0.847527256,1.816315566,-0.899032127,1,0.359714073,0,1,0
44,0,0.270985074,-1.037802577,1,3,1,0,1,0,0,1,1,0,1,0,0.44655028,0.155860815,0.252886081,1,-0.154717855,1,0,0
45,0,0.025589444,-0.803206907,1,2,0,0,1,0,1,0,0,0,1,0,-1.059440913,-0.38890806,-0.133513252,1,-0.599262907,0,1,0
46,0,2.102967061,0.964943408,1,1,0,1,0,0,1,0,0,0,1,0,0.975008119,-0.686823223,0.505632443,1,0.542098512,0,1,0
47,0,0.194401722,1.228035871,0,4,1,1,0,0,1,0,0,0,1,0,-0.119145865,0.391680054,1.144778138,1,0.965338221,0,1,0
48,0,0.310189053,-1.111903106,0,2,0,0,1,0,0,1,1,0,1,0,-0.189794096,0.419769431,0.892031776,1,0.793178415,0,1,0
49,0,-0.08764595,-0.123198721,1,3,1,1,0,0,1,0,0,0,1,0,-0.851925338,0.309701792,-1.411804641,1,-1.447048475,0,1,0
