CASE,UNO,SERO,Mode,Alt1_ch,Alt2_ch,Alt3_ch,WEIGHT,DIST,VEHWRK,POPDENS,MALE,AGE,AGE45,HIGHINC,IVTT_DA,OVTT_DA,OVTDS_DA,COST_DA,IVTT_SR,OVTT_SR,OVTDS_SR,COST_SR,IVTT_TR,OVTT_TR,OVTDS_TR,COST_TR
1,1,0,1,1,0,0,1.8362,26.7,2,23.2,1,46,1,0,4.7,0.2,0.00749,2.62,5.14,0.42,0.01573,1.31,4.79,3.76,0.14082,3
2,1,0,1,1,0,0,1.8362,4.9,1,35.52,1,31,0,0,1.2,0.8,0.16327,1.23,1.53,1.04,0.21224,0.62,1.51,3.24,0.66122,1.25
3,1,0,1,1,0,0,1.8362,2.8,1,35.52,1,31,0,0,2.8,0.5,0.17857,1.02,3.47,0.68,0.24286,0.52,8.08,4.5,1.60714,4.15
4,1,0,1,1,0,0,1.8362,22.1,1,35.52,1,31,0,0,2.8,0.5,0.02262,2.17,3.47,0.68,0.03077,1.08,7.1,5.15,0.23303,4.25
5,1,0,1,1,0,0,0.2982,2.5,0.5,29.61,0,25,0,0,0.7,0.4,0.16,0.28,0.94,0.63,0.252,0.14,0.49,1.29,0.516,0
6,1,0,1,1,0,0,0.2982,2.5,0.5,29.61,0,20,0,0,0.6,0.4,0.16,0.28,0.81,0.59,0.236,0.14,0.49,1.24,0.496,0
7,1,0,3,0,0,1,0.2982,2.5,0.5,29.61,0,20,0,0,0.6,0.4,0.16,0.28,0.8,0.56,0.224,0.14,0.49,1.77,0.708,0.75
8,1,0,3,0,0,1,1.8362,2.5,0.5,29.61,0,25,0,0,0.6,0.4,0.16,2.74,0.8,0.56,0.224,1.37,0.49,1.34,0.536,0
9,1,0,2,0,1,0,1.8362,2.5,0.5,29.61,0,25,0,0,0.6,0.4,0.16,2.74,0.8,0.56,0.224,1.37,0.49,1.92,0.768,0.75
10,1,0,1,1,0,0,1.8362,5.2,1,1.05,0,48,1,0,1.4,0.2,0.03846,0.51,0.167,0.42,0.08077,0.26,3.15,3.28,0.63077,0.75
11,1,0,1,1,0,0,1.8362,6.7,1,1.05,0,48,1,0,1.3,0.2,0.02985,0.66,1.57,0.38,0.05672,0.33,3.15,3.28,0.48955,0.75
12,1,0,1,1,0,0,1.8362,5.4,1,40.84,0,56,1,0,1.8,0.7,0.12963,0.53,2.09,20.9,0.17407,0.27,2.11,2.63,0.48704,0.75
13,1,0,1,1,0,0,1.8362,1.5,1,23.73,1,48,1,0,1.5,0.7,0.46667,4.4,1.89,0.92,0.61333,2.19,1.88,2.48,1.65333,1.25
14,1,0,1,1,0,0,1.8362,4,1,16.03,1,65,1,0,1.1,0.4,0.1,0.39,1.35,0.59,0.1475,0.2,3.08,3.26,0.815,1
15,1,0,2,0,1,0,1.8362,3.3,0.6,29.56,1,49,1,0,1,0.8,0.24242,0.32,1.25,1.03,0.31212,0.16,1.96,1.46,0.44242,0.75
16,1,0,1,1,0,0,1.8362,1,0.6,29.56,1,49,1,0,1,0.8,0.8,0.1,1.29,1.04,1.04,0.05,1.85,2.15,2.15,0.75
17,1,0,1,1,0,0,1.8362,5.7,0.6,29.56,1,49,1,0,1.4,0.7,0.12281,0.56,1.77,0.92,0.1614,0.28,2.79,1.82,0.3193,0.75
18,1,0,3,0,0,1,0.2982,1,1,19.83,0,54,1,0,0.3,0.7,0.7,1.95,0.52,0.94,0.94,0.98,0.64,0.4,0.4,0.5
19,1,0,3,0,0,1,0.2982,1,1,19.83,0,54,1,0,0.3,0.7,0.7,1.95,0.49,0.92,0.92,0.98,0.42,0.35,0.35,0.5
20,1,0,1,1,0,0,0.6426,3.4,0.8,33.82,1,23,0,0,1.2,0.5,0.14706,0.33,1.46,0.7,0.20588,0.17,1.16,1.92,0.56471,0.75
21,1,0,1,1,0,0,0.6426,3.4,0.8,33.82,1,23,0,0,1.2,0.5,0.14706,0.33,1.46,0.7,0.20588,0.17,1.16,1.25,0.36765,0.75
22,1,0,1,1,0,0,0.6426,3.7,0.8,33.82,1,23,0,0,1.3,0.5,0.13514,0.36,1.57,0.73,0.1973,0.18,1.16,1.92,0.51892,0.75
23,1,0,1,1,0,0,0.6426,3.4,0.8,33.82,1,23,0,0,1.2,0.5,0.14706,0.33,1.46,0.7,0.20588,0.17,1.16,2.46,0.72353,0.75
24,1,0,2,0,1,0,0.6426,3.7,0.8,33.82,1,23,0,0,1.3,0.5,0.13514,0.36,1.57,0.73,0.1973,0.18,1.16,2.46,0.66486,0.75
25,1,0,1,1,0,0,0.6426,3.4,0.8,33.82,0,23,0,0,1.2,0.5,0.14706,1.83,1.46,0.7,0.20588,0.92,1.16,2.46,0.72353,0.75
26,1,0,1,1,0,0,0.6426,3.7,0.8,33.82,0,23,0,0,1.3,0.5,0.13514,1.86,1.57,0.73,0.1973,0.93,1.16,2.56,0.69189,0.75
