ID,uno,sero,rural,urban,b51q11,Accomod,FandB,Transp,Shp,Recr,fr_fem,hinc20k,stlt3,st410,stgt10,bud
817,1,0,1,0,2,0,200,164,2400,200,0.5,0,1,0,0,100000
13300,1,0,0,1,3,6800,5800,2300,1200,0,0.75,1,1,0,0,100000
14630,1,0,1,0,7,800,400,280,900,0,0,0,0,1,0,100000
1120,1,0,1,0,3,0,300,300,600,0,1,0,1,0,0,100000
736,1,0,1,0,20,0,500,480,800,0,0.5,0,0,0,1,100000
12876,1,0,0,1,5,8000,600,6100,1000,0,0.5,1,0,1,0,100000
13311,1,0,0,1,3,200,4800,1160,2500,0,1,0,1,0,0,100000
8421,1,0,0,1,3,1100,1700,2300,1100,0,1,1,1,0,0,100000
3367,1,0,1,0,2,0,600,920,500,1100,0.25,0,1,0,0,100000
3790,1,0,1,0,2,0,4200,160,12600,0,1,0,1,0,0,100000
14871,1,0,1,0,6,0,1200,200,2600,0,1,0,0,1,0,100000
8419,1,0,0,1,7,0,200,1000,0,0,0,0,0,1,0,100000
15586,1,0,0,1,6,1000,800,2650,1100,0,0,0,0,1,0,100000
15044,1,0,0,1,3,1300,2000,3200,200,800,0,0,1,0,0,100000
5817,1,0,0,1,2,0,300,1700,400,0,0.25,0,1,0,0,100000
2824,1,0,1,0,12,0,500,660,1200,0,0.666666667,1,0,0,1,100000
1731,1,0,1,0,4,0,600,1675,500,0,0.333333333,0,0,1,0,100000
10203,1,0,0,1,3,400,100,1180,300,0,0,0,1,0,0,100000
5899,1,0,0,1,6,1600,1600,11200,300,0,0.5,1,0,1,0,100000
15449,1,0,0,1,2,1100,2700,5000,1600,800,0.5,1,1,0,0,100000
15577,1,0,0,1,10,0,2900,15150,1700,0,0.333333333,0,0,1,0,100000
1388,1,0,1,0,3,0,300,120,700,0,0.5,0,1,0,0,100000
13640,1,0,0,1,2,3700,2600,1300,1100,0,0,1,1,0,0,100000
9876,1,0,0,1,6,0,900,300,0,0,0.75,0,0,1,0,100000
8474,1,0,0,1,4,0,600,24310,400,0,0.5,0,0,1,0,100000
6775,1,0,0,1,13,5300,2600,2300,1200,0,0,0,0,0,1,100000
12048,1,0,0,1,6,1200,900,7700,600,0,0.333333333,1,0,1,0,100000
11909,1,0,0,1,30,0,1300,900,500,0,0,0,0,0,1,100000
15722,1,0,0,1,3,0,400,1500,1700,0,0,0,1,0,0,100000
8218,1,0,0,1,2,0,500,300,200,0,0.5,0,1,0,0,100000
12574,1,0,0,1,5,4700,7200,400,2700,0,1,0,0,1,0,100000
4208,1,0,1,0,20,500,1000,40,2600,0,0,0,0,0,1,100000
14714,1,0,1,0,4,0,600,800,3400,0,0,0,0,1,0,100000
14840,1,0,1,0,15,0,600,7000,1900,0,0.5,0,0,0,1,100000
9503,1,0,0,1,2,3600,700,4500,2300,300,0.75,1,1,0,0,100000
9048,1,0,0,1,4,1300,1300,2600,900,0,0.666666667,0,0,1,0,100000
1425,1,0,1,0,1,1000,1100,300,600,0,0.5,0,1,0,0,100000
9845,1,0,0,1,3,0,700,300,500,0,0,0,1,0,0,100000
3084,1,0,1,0,2,0,0,2600,2400,0,0.6,0,1,0,0,100000
5071,1,0,0,1,2,0,1400,1250,300,0,0.666666667,0,1,0,0,100000
14417,1,0,1,0,2,0,700,300,1100,0,0.333333333,0,1,0,0,100000
3327,1,0,1,0,2,0,100,850,0,0,0,0,1,0,0,100000
761,1,0,1,0,1,1100,400,800,1100,0,0.25,0,1,0,0,100000
10886,1,0,0,1,10,0,1800,4900,1500,0,0.333333333,0,0,1,0,100000
4195,1,0,1,0,3,1700,600,3400,300,0,0.5,0,1,0,0,100000
8513,1,0,0,1,20,0,500,5100,300,0,0,0,0,0,1,100000
12947,1,0,0,1,6,2600,2300,12110,300,200,0.25,0,0,1,0,100000
746,1,0,1,0,1,2400,600,1000,800,0,0,0,1,0,0,100000
13549,1,0,0,1,6,7200,600,2400,5200,0,0,0,0,1,0,100000
13977,1,0,0,1,3,600,700,10600,0,0,0.5,1,1,0,0,100000
12545,1,0,0,1,4,100,700,1200,200,0,0,0,0,1,0,100000
