OBSID,LCITY,INCOME,WEEKEND,FEMSEX,ALONE,FREQ_AIR,FREQ_RAIL,IVTT_CAR,IVTT_AIR,IVTT_RAIL,OVTT_AIR,OVTT_RAIL,TCCAR,TCAIR,TCRAIL,chosen
1,0,45,0,1,0,9,4,186,56,174,149,99,53.58,164.2,50.65,1
2,0,70,1,0,1,9,4,226,56,209,139,94,65.55,159.5,66.65,3
3,0,35,0,0,0,9,4,226,56,209,139,94,65.55,159.5,66.65,1
4,0,45,0,0,1,9,4,226,56,209,139,94,65.55,159.5,66.65,1
5,0,35,0,0,1,9,4,226,56,209,139,94,65.55,159.5,66.65,1
6,0,45,0,0,1,9,4,226,56,209,139,94,65.55,159.5,66.65,1
7,0,70,0,0,1,9,4,226,56,209,139,94,65.55,159.5,66.65,1
8,0,55,1,0,1,9,4,226,56,209,139,94,65.55,159.5,66.65,1
9,0,70,0,0,0,9,4,237,56,209,144,104,69.16,174.2,68.65,1
10,0,45,0,0,1,9,4,166,56,174,139,64,49.02,158.2,46.65,1
11,0,55,0,1,1,9,4,174,56,174,139,64,50.73,159.2,48.65,1
12,0,55,0,0,1,9,4,174,56,174,139,64,50.73,159.2,48.65,1
13,0,55,0,0,1,9,2,178,56,260,129,64,53.01,159.2,46.65,3
14,0,45,0,0,0,9,2,178,56,260,129,64,53.01,159.2,46.65,1
15,0,55,0,1,1,9,2,178,56,260,129,64,53.01,159.2,46.65,1
16,0,70,0,0,1,9,2,184,56,260,134,66,53.77,154.2,47.65,1
17,0,55,0,0,1,9,2,188,56,260,139,77,55.29,159.2,48.65,1
18,0,45,0,0,1,9,2,188,56,260,139,77,55.29,159.2,48.65,1
19,0,55,0,0,1,9,2,188,56,260,139,77,55.29,159.2,48.65,1
20,0,35,0,0,1,9,2,200,56,281,124,59,56.24,156.9,50.05,1
21,0,45,0,0,1,9,2,200,56,281,124,59,56.24,156.9,50.05,1
22,0,70,0,1,1,9,2,200,56,281,124,59,56.24,156.9,50.05,1
23,0,70,1,0,1,9,2,200,56,281,124,59,56.24,156.9,50.05,1
24,0,45,0,1,1,9,2,210,56,281,139,74,60.23,159.2,53.05,1
25,0,70,0,0,0,9,2,194,56,268,123,69,55.29,146.2,57.65,1
26,0,70,0,0,1,9,2,194,56,268,123,69,55.29,146.2,57.65,1
27,0,55,0,0,1,9,2,194,56,268,123,69,55.29,146.2,57.65,1
28,0,25,1,0,1,9,2,194,56,268,123,69,55.29,146.2,57.65,1
29,0,70,0,0,0,9,4,201,56,209,109,74,57,150.2,59.65,1
30,0,5,0,0,1,9,4,210,56,209,109,74,59.47,150.2,59.65,1
31,0,35,1,0,1,9,4,210,56,209,109,74,59.47,150.2,59.65,1
32,0,35,0,0,1,9,4,199,56,209,104,69,57,149.55,55.65,1
33,0,55,0,0,1,9,4,199,56,209,104,69,57,149.55,55.65,1
34,0,70,1,0,1,9,4,199,56,209,104,69,57,149.55,55.65,1
35,0,70,0,0,1,9,4,214,56,215,94,63,60.23,146.2,57.25,2
36,0,70,0,0,1,9,4,214,56,215,94,63,60.23,146.2,57.25,1
37,0,45,0,0,1,9,4,214,56,215,94,63,60.23,146.2,57.25,1
38,0,55,0,0,1,9,4,214,56,215,94,63,60.23,146.2,57.25,1
39,0,70,0,1,0,9,4,214,56,215,94,63,60.23,146.2,57.25,1
40,0,55,0,0,0,9,4,214,56,215,94,63,60.23,146.2,57.25,1
41,0,55,0,0,0,9,4,214,56,215,94,63,60.23,146.2,57.25,1
42,0,70,0,0,0,9,4,216,56,215,100,79,60.8,146.2,58.75,1
43,0,45,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,2
44,0,70,0,0,0,9,4,262,56,215,85,74,71.63,142.8,58.25,2
45,0,35,0,1,0,9,4,262,56,215,85,74,71.63,142.8,58.25,2
46,0,70,0,0,0,9,4,262,56,215,85,74,71.63,142.8,58.25,2
47,0,70,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,2
48,0,55,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,2
49,0,25,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,2
50,0,70,0,0,0,9,4,262,56,215,85,74,71.63,142.8,58.25,2
51,0,70,1,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,2
52,0,45,1,0,0,9,4,262,56,215,85,74,71.63,142.8,58.25,2
53,0,70,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,1
54,0,25,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,1
55,0,70,0,0,1,9,4,262,56,215,85,74,71.63,142.8,58.25,1
